figi,name,ticker,exchCode,compositeFIGI,uniqueID,securityType,marketSector,shareClassFIGI,uniqueIDFutOpt,securityType2,securityDescription
BBG000BWVSR1,WASTE MANAGEMENT INC,WM,US,BBG000BWVSR1,,Common Stock,Equity,BBG001S5XH47,,Common Stock,WM
BBG000FQRVM3,WATERS CORP,WAT,US,BBG000FQRVM3,,Common Stock,Equity,BBG001S8MDG9,,Common Stock,WAT
BBG000BWP7D9,WEC ENERGY GROUP INC,WEC,US,BBG000BWP7D9,,Common Stock,Equity,BBG001S5XDC7,,Common Stock,WEC
BBG000BWQFY7,WELLS FARGO & CO,WFC,US,BBG000BWQFY7,,Common Stock,Equity,BBG001S5XF23,,Common Stock,WFC
BBG000BKY1G5,WELLTOWER INC,WELL,US,BBG000BKY1G5,,REIT,Equity,BBG001S5RTQ4,,REIT,WELL
BBG000BX24N8,WEST PHARMACEUTICAL SERVICES,WST,US,BBG000BX24N8,,Common Stock,Equity,BBG001S5XK22,,Common Stock,WST
BBG000BWNFZ9,WESTERN DIGITAL CORP,WDC,US,BBG000BWNFZ9,,Common Stock,Equity,BBG001S5XD28,,Common Stock,WDC
BBG000BB5373,WESTERN UNION CO,WU,US,BBG000BB5373,,Common Stock,Equity,BBG001SR0YK0,,Common Stock,WU
BBG008NXC572,WESTROCK CO,WRK,US,BBG008NXC572,,Common Stock,Equity,BBG008NXC581,,Common Stock,WRK
BBG000BX3BL3,WEYERHAEUSER CO,WY,US,BBG000BX3BL3,,REIT,Equity,BBG001S5XL11,,REIT,WY
BBG000BWSV34,WHIRLPOOL CORP,WHR,US,BBG000BWSV34,,Common Stock,Equity,BBG001S5XFS5,,Common Stock,WHR
BBG000BWVCP8,WILLIAMS COS INC,WMB,US,BBG000BWVCP8,,Common Stock,Equity,BBG001S5XH10,,Common Stock,WMB
BBG000LD9JQ8,WYNN RESORTS LTD,WYNN,US,BBG000LD9JQ8,,Common Stock,Equity,BBG001SJZ2V8,,Common Stock,WYNN
BBG000BX57K1,DENTSPLY SIRONA INC,XRAY,US,BBG000BX57K1,,Common Stock,Equity,BBG001S5XLV8,,Common Stock,XRAY
BBG000GZQ728,EXXON MOBIL CORP,XOM,US,BBG000GZQ728,,Common Stock,Equity,BBG001S69V32,,Common Stock,XOM
BBG000BCTQ65,XCEL ENERGY INC,XEL,US,BBG000BCTQ65,,Common Stock,Equity,BBG001S7F0X8,,Common Stock,XEL
BBG000C0F570,XILINX INC,XLNX,US,BBG000C0F570,,Common Stock,Equity,BBG001S62S63,,Common Stock,XLNX
BBG001D8R5D0,XYLEM INC,XYL,US,BBG001D8R5D0,,Common Stock,Equity,BBG001V05C73,,Common Stock,XYL
BBG000BH3GZ2,YUM! BRANDS INC,YUM,US,BBG000BH3GZ2,,Common Stock,Equity,BBG001S7JQ30,,Common Stock,YUM
BBG000CC7LQ7,ZEBRA TECHNOLOGIES CORP-CL A,ZBRA,US,BBG000CC7LQ7,,Common Stock,Equity,BBG001S6SX73,,Common Stock,ZBRA
